DATE,CHIC917BPPRIVSA
1/1/1988,2649.155624
2/1/1988,2073.055351
3/1/1988,3440.431952
4/1/1988,3102.204619
5/1/1988,3201.180975
6/1/1988,3614.400236
7/1/1988,3419.994817
8/1/1988,3291.948667
9/1/1988,3377.749515
10/1/1988,3260.969226
11/1/1988,3215.120829
12/1/1988,6185.716987
1/1/1989,2731.848745
2/1/1989,3189.565533
3/1/1989,2719.045759
4/1/1989,3818.96474
5/1/1989,3174.864645
6/1/1989,2393.921698
7/1/1989,2714.125533
8/1/1989,3137.432242
9/1/1989,2993.674418
10/1/1989,3478.548305
11/1/1989,2788.611469
12/1/1989,2375.473445
1/1/1990,3761.808879
2/1/1990,3100.995993
3/1/1990,2932.87237
4/1/1990,2689.915513
5/1/1990,2468.274648
6/1/1990,2389.390899
7/1/1990,2413.334683
8/1/1990,2256.926714
9/1/1990,2342.768179
10/1/1990,1976.083992
11/1/1990,2186.389625
12/1/1990,2153.602933
1/1/1991,1949.531257
2/1/1991,1724.519622
3/1/1991,1934.293807
4/1/1991,2255.886168
5/1/1991,2043.309719
6/1/1991,2263.36984
7/1/1991,3592.661767
8/1/1991,2121.711041
9/1/1991,2115.593388
10/1/1991,2168.694104
11/1/1991,2292.183622
12/1/1991,2126.88342
1/1/1992,2653.483024
2/1/1992,2583.679385
3/1/1992,2502.715733
4/1/1992,2295.890868
5/1/1992,2623.11418
6/1/1992,2566.472594
7/1/1992,2679.787551
8/1/1992,2546.47656
9/1/1992,2708.316386
10/1/1992,2729.369766
11/1/1992,2633.17749
12/1/1992,2596.513265
1/1/1993,2828.25024
2/1/1993,2707.254751
3/1/1993,2639.899998
4/1/1993,2828.196364
5/1/1993,2617.515897
6/1/1993,2806.596184
7/1/1993,2837.912442
8/1/1993,2767.113165
9/1/1993,2729.298801
10/1/1993,2929.899126
11/1/1993,3585.215952
12/1/1993,3330.011256
1/1/1994,2782.929118
2/1/1994,2545.072931
3/1/1994,3580.462838
4/1/1994,3085.260943
5/1/1994,3443.354461
6/1/1994,3000.323829
7/1/1994,3228.356617
8/1/1994,3350.418778
9/1/1994,3162.340672
10/1/1994,3136.508424
11/1/1994,3096.022134
12/1/1994,3220.439431
1/1/1995,2867.607181
2/1/1995,2812.502102
3/1/1995,2991.615727
4/1/1995,2493.822193
5/1/1995,2763.217033
6/1/1995,3262.47724
7/1/1995,2830.769654
8/1/1995,3194.09981
9/1/1995,3574.165325
10/1/1995,2920.50114
11/1/1995,3154.574789
12/1/1995,2874.423268
1/1/1996,3060.393444
2/1/1996,3050.147688
3/1/1996,3083.090695
4/1/1996,3632.901804
5/1/1996,3354.468106
6/1/1996,2932.658758
7/1/1996,3100.676532
8/1/1996,3144.87152
9/1/1996,3020.950833
10/1/1996,3433.582415
11/1/1996,3239.314563
12/1/1996,2850.149016
1/1/1997,3228.415368
2/1/1997,2864.013586
3/1/1997,2800.580703
4/1/1997,3016.374356
5/1/1997,2859.45394
6/1/1997,2882.913807
7/1/1997,3037.841483
8/1/1997,2502.574029
9/1/1997,2963.803181
10/1/1997,2719.147325
11/1/1997,2666.515132
12/1/1997,3100.822367
1/1/1998,3096.459592
2/1/1998,3249.357914
3/1/1998,3102.912316
4/1/1998,3080.893146
5/1/1998,3079.169714
6/1/1998,3218.061143
7/1/1998,3113.95198
8/1/1998,2515.013529
9/1/1998,2977.029004
10/1/1998,3375.28031
11/1/1998,3111.456958
12/1/1998,3948.08145
1/1/1999,3229.830664
2/1/1999,3344.81938
3/1/1999,3642.415085
4/1/1999,3409.78756
5/1/1999,3269.659591
6/1/1999,3536.356774
7/1/1999,3531.099721
8/1/1999,4018.273147
9/1/1999,3998.163779
10/1/1999,3508.601108
11/1/1999,3931.696734
12/1/1999,3604.714101
1/1/2000,3402.678996
2/1/2000,3815.911302
3/1/2000,3406.151511
4/1/2000,3606.05925
5/1/2000,4164.748547
6/1/2000,3378.306552
7/1/2000,3431.011264
8/1/2000,3233.29137
9/1/2000,3264.196187
10/1/2000,3253.763842
11/1/2000,3629.63581
12/1/2000,2485.460466
1/1/2001,4256.859785
2/1/2001,3551.402882
3/1/2001,3661.405982
4/1/2001,3540.900178
5/1/2001,3919.187156
6/1/2001,3700.435877
7/1/2001,3506.797777
8/1/2001,3694.245786
9/1/2001,2889.583122
10/1/2001,3628.483348
11/1/2001,3651.702452
12/1/2001,3780.769486
1/1/2002,4037.181537
2/1/2002,3894.153429
3/1/2002,3804.816575
4/1/2002,4109.802225
5/1/2002,4024.802606
6/1/2002,3932.415473
7/1/2002,4244.322311
8/1/2002,2849.523824
9/1/2002,3748.550674
10/1/2002,4225.953402
11/1/2002,3459.738397
12/1/2002,4137.092231
1/1/2003,3784.680736
2/1/2003,3669.011605
3/1/2003,3570.561909
4/1/2003,4079.29623
5/1/2003,3762.743344
6/1/2003,4798.502668
7/1/2003,4032.653035
8/1/2003,4145.662447
9/1/2003,4558.94494
10/1/2003,4972.405317
11/1/2003,4487.991368
12/1/2003,3933.730397
1/1/2004,3514.58016
2/1/2004,3541.664404
3/1/2004,4257.780536
4/1/2004,3662.696532
5/1/2004,3786.44673
6/1/2004,4173.690168
7/1/2004,4015.114298
8/1/2004,4192.747742
9/1/2004,4218.194227
10/1/2004,4187.831969
11/1/2004,4108.717652
12/1/2004,4068.218449
1/1/2005,3629.649013
2/1/2005,3917.661697
3/1/2005,4468.776612
4/1/2005,4550.07005
5/1/2005,4238.753265
6/1/2005,4113.750357
7/1/2005,4513.056437
8/1/2005,4933.052129
9/1/2005,4622.190673
10/1/2005,4303.478782
11/1/2005,4727.790864
12/1/2005,4554.581444
1/1/2006,4801.204556
2/1/2006,4847.237389
3/1/2006,4342.003777
4/1/2006,4210.501813
5/1/2006,4493.766397
6/1/2006,3755.896632
7/1/2006,4070.533483
8/1/2006,3756.353133
9/1/2006,3190.560184
10/1/2006,3373.117297
11/1/2006,3047.297666
12/1/2006,2878.665681
1/1/2007,4595.174842
2/1/2007,3316.467227
3/1/2007,3226.678543
4/1/2007,2598.425193
5/1/2007,3049.180042
6/1/2007,3091.976969
7/1/2007,2349.011661
8/1/2007,2359.564954
