TownCode,LocationFactor,Land_SquareFeet,Land_PriorTaxYearMarketValueEstimate,Building_SquareFeet,Building_PriorTaxYearMarketValueEstimate,SalePrice,Age,WallMaterial,RoofMaterial,Rooms,Bedrooms,FullBaths,Basement,BasementFinish,CentralHeating,CentralAir,AtticType,HalfBaths,Garage1Size,Garage1Material,Garage1Attachment,Garage1Area,Porch
10,2.22242452039837,6600,31350.0,2232.0,468500.0,575000.0,93,3.0,1.0,12.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3
10,2.17588840394796,6534,31030.0,2092.0,387860.0,550000.0,110,1.0,1.0,7.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1
10,2.22830754909464,8712,41380.0,2244.0,460860.0,575000.0,115,1.0,1.0,8.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,1
10,2.12868606780209,8747,41540.0,3965.0,736700.0,1150000.0,12,1.0,1.0,9.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,3
10,2.10964150140205,8712,41380.0,2725.0,407120.0,455000.0,136,1.0,1.0,9.0,4.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3
10,2.19052682948284,8448,40120.0,1316.0,320660.0,885000.0,94,1.0,1.0,6.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,3
10,2.16102989130516,7846,37260.0,2253.0,384590.0,690000.0,141,1.0,1.0,7.0,3.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,Other,1.0,2.0,2.0,3
10,2.13632372588822,5742,27270.0,1636.0,325660.0,439000.0,95,1.0,1.0,7.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,1
10,2.13076289207591,10494,49840.0,1716.0,356060.0,280000.0,93,1.0,1.0,7.0,4.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,3
10,2.10412883679693,11827,56170.0,1471.0,253450.0,450000.0,62,3.0,1.0,6.0,4.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,2.0,3
10,2.08789759770153,11310,53720.0,1878.0,377150.0,405000.0,62,3.0,1.0,7.0,3.0,2.0,3.0,3.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,3
10,2.08016528509297,5940,28210.0,2063.0,447650.0,625000.0,138,1.0,1.0,9.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,3
10,2.03591731518148,6943,32970.0,1084.0,205850.0,390500.0,64,3.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,2.0,3
10,2.04126349274845,6600,31350.0,1639.0,309550.0,365000.0,52,3.0,1.0,8.0,4.0,1.0,2.0,3.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,2.0,3
10,2.00999163484838,7294,34640.0,1524.0,358100.0,305000.0,90,1.0,1.0,7.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,2.0,2.0,3
