,ModelingGroup,TownCode,NeighborhoodCode,PropertyAddress,Longitude,Latitude,DateofMostRecentSale,RepairCondition,Garage2Size
24253,SF,10,12,230 W LAKE ST,-88.1398590926126,42.1526846691863,07/02/2019,2.0,7.0
24254,SF,10,12,126 W LAKE ST,-88.137324747648,42.1526229326515,08/14/2019,2.0,7.0
24255,SF,10,12,249  LAKE ST,-88.1406748720789,42.1521422567435,08/15/2019,2.0,7.0
24256,SF,10,12,308 S COOK ST,-88.1352202039198,42.1520240305595,07/24/2019,2.0,7.0
24257,SF,10,12,300 S GROVE AVE,-88.1339977194644,42.1521928328772,07/02/2019,2.0,7.0
24258,SF,10,12,239 W RUSSELL ST,-88.1401856904702,42.1503295096986,04/12/2019,2.0,7.0
24259,SF,10,12,201 W RUSSELL ST,-88.1385212956473,42.1503461003367,08/13/2019,2.0,7.0
24260,SF,10,12,119 W RUSSELL ST,-88.1371235265617,42.1503601897763,07/15/2019,2.0,7.0
24261,SF,10,12,129  COOLIDGE AVE,-88.1375919609037,42.1494683920563,08/13/2019,2.0,7.0
24262,SF,10,12,637  LILL ST,-88.1380624367299,42.1471804993249,03/12/2019,2.0,7.0
24263,SF,10,12,123  STURTZ ST,-88.1371139404813,42.1472130928939,06/18/2019,2.0,7.0
24264,SF,10,12,502 S GROVE AVE,-88.1339467052702,42.1503701362495,05/17/2019,2.0,7.0
24265,SF,10,12,640 S GROVE AVE,-88.1340352176119,42.1473450259383,03/27/2019,2.0,7.0
24266,SF,10,12,339 E RUSSELL ST,-88.1318289279135,42.1502562209643,03/06/2019,2.0,7.0
24267,SF,10,12,103  WALTON ST,-88.1267247053359,42.1539786796984,08/14/2019,2.0,7.0
24268,SF,10,12,210  KAINER AVE,-88.1255115595245,42.151607492654,02/28/2019,2.0,7.0
24269,SF,10,12,703  WARWICK AVE,-88.1247660427755,42.1519295548733,07/17/2019,2.0,7.0
24270,SF,10,12,240 S GLENDALE AVE,-88.1242808729523,42.1508969564628,07/22/2019,2.0,7.0
24271,SF,10,12,516  DIVISION ST,-88.1300239792336,42.1498776721218,03/06/2019,2.0,7.0
24272,SF,10,12,503  DIVISION ST,-88.1291827070555,42.1503423969548,05/20/2019,2.0,7.0
24273,SF,10,12,502  PRAIRIE AVE,-88.1286626823208,42.1503419524233,08/14/2019,2.0,7.0
24274,SF,10,12,614  DIVISION ST,-88.1299984568097,42.1476137221076,09/10/2019,2.0,7.0
24275,SF,10,12,610  PRAIRIE AVE,-88.1286561515343,42.1480688425805,04/12/2019,2.0,7.0
24276,SF,10,12,139 W HILLSIDE AVE,-88.1380359545216,42.1460854674101,09/04/2019,2.0,7.0
24277,SF,10,12,751 S COOK ST,-88.1340368590994,42.1448654646008,09/18/2019,2.0,7.0
24278,SF,10,12,728 S SUMMIT ST,-88.1317435278259,42.1455929121009,03/27/2019,2.0,7.0
24279,SF,10,12,827 S HOUGH ST,-88.1355983026988,42.1436543158456,04/11/2019,2.0,7.0
24280,SF,10,12,9  YALE ST,-88.1356143499751,42.1412359366024,08/12/2019,2.0,7.0
24281,SF,10,12,743  DUNDEE AVE,-88.1405264466293,42.1445366844849,07/16/2019,2.0,7.0
24282,SF,10,12,813  DUNDEE AVE,-88.1405294179861,42.1439662735301,05/24/2019,2.0,7.0
24283,SF,10,12,829  DUNDEE AVE,-88.1405321306983,42.1433993605431,07/05/2019,2.0,7.0
24284,SF,10,12,819  MEADOW LN,-88.1396921408545,42.1436935659715,06/14/2019,2.0,7.0
24285,SF,10,12,814  SKYLINE DR,-88.1377526186047,42.1440148903145,07/12/2019,2.0,7.0
24286,SF,10,12,721  SKYLINE DR,-88.1365889770429,42.1453791517882,03/05/2019,2.0,7.0
24287,SF,10,12,517 E HILLSIDE AVE,-88.128966974762,42.1464062975263,04/10/2019,2.0,7.0
24288,SF,10,12,763  DIVISION ST,-88.1296253968654,42.1444175279529,03/07/2019,2.0,7.0
24289,SF,10,12,748  PRAIRIE AVE,-88.1291054592288,42.1449564698295,05/30/2019,2.0,7.0
24290,SF,10,12,736  HIGHLAND AVE,-88.1278932153565,42.145360023922,01/17/2019,2.0,7.0
24291,SF,10,12,401  SOUTH ST,-88.1310143516411,42.1437987261918,07/11/2019,2.0,7.0
24292,SF,10,11,1009 S SUMMIT ST,-88.1308392098354,42.1406792462796,09/26/2019,2.0,7.0
24293,SF,10,12,322 W LAKE ST,-88.14211538745,42.1526872836211,01/16/2019,2.0,7.0
24294,MF,10,12,424 S DUNDEE AVE,-88.141332826104,42.1505996849059,02/01/2019,2.0,7.0
24295,SF,10,21,66  WINDRUSH LN,-88.1580905435164,42.1418124676933,09/10/2019,2.0,7.0
24296,SF,10,14,510  SHADY LN,-88.1470053760732,42.1441676096596,09/25/2019,2.0,7.0
24297,SF,10,14,440  SHADY LN,-88.1448963790145,42.1441315098999,05/09/2019,2.0,7.0
24298,SF,10,14,444 W SUNSET RD,-88.144910656284,42.143039212587,07/18/2019,2.0,7.0
24299,SF,10,14,425  SUNSET RD,-88.1439401230539,42.1424936757934,09/24/2019,2.0,7.0
24300,SF,10,14,821  ORCHARD DR,-88.1435437454842,42.1434363820124,02/28/2019,2.0,7.0
24301,SF,10,14,750  DUNDEE AVE,-88.1413588760265,42.1440397339939,04/10/2019,2.0,7.0
24302,SF,10,21,420  DANA LN,-88.1680372465297,42.1465055088386,04/10/2019,1.0,7.0
24303,SF,10,21,413  CAESAR DR,-88.1673344838315,42.1520182607044,03/13/2019,2.0,7.0
24304,SF,10,21,52  BRINKER RD,-88.1763813603514,42.1414570233441,09/23/2019,2.0,7.0
24305,SF,10,21,276  DONLEA RD,-88.1974879760089,42.1497490766675,09/11/2019,2.0,7.0
24306,SF,10,21,272  DONLEA RD,-88.196364654765,42.1497720495018,01/09/2019,2.0,7.0
24307,SF,10,21,3  MIDDLEBURY RD,-88.2339505394275,42.1489655098008,03/12/2019,2.0,7.0
24308,SF,10,21,7  CRAWLING STONE RD,-88.2350368990068,42.1475982924173,03/18/2019,1.0,7.0
24309,SF,10,21,105  REMINGTON DR,-88.2257339275541,42.1273070413703,07/22/2019,2.0,7.0
24310,SF,10,21,8  JENNIFER CT,-88.1675530346572,42.1269729935202,04/29/2019,2.0,7.0
24311,SF,10,21,47  LAKEVIEW LN,-88.1465054244217,42.129697546113,07/02/2019,2.0,7.0
24312,SF,10,21,87  HAWLEY WOODS RD,-88.1588286867247,42.1310650769078,06/20/2019,1.0,7.0
24313,SF,10,11,1113 S HOUGH ST,-88.13565708805,42.1379656922352,09/16/2019,2.0,7.0
24314,SF,10,31,1425  SOMERSET PL,-88.1332541476982,42.1339104853086,07/25/2019,2.0,7.0
24316,SF,10,22,443  PARK BARRINGTON DR,-88.1285960917281,42.1323926030651,03/01/2019,2.0,7.0
24317,SF,10,22,441  PARK BARRINGTON DR,-88.1288127234776,42.1323859131153,07/01/2019,2.0,7.0
24318,SF,10,22,478  PARK BARRINGTON DR,-88.1281023934905,42.1351351552111,01/03/2019,2.0,7.0
24319,SF,10,22,450  PARK BARRINGTON DR,-88.1274453431892,42.133250099454,04/09/2019,2.0,7.0
24320,SF,10,22,464  PARK BARRINGTON DR,-88.1275942576118,42.1341434356696,09/26/2019,2.0,7.0
24321,SF,10,22,536  PARK BARRINGTON WAY,-88.1272627689453,42.1344634657857,07/02/2019,2.0,7.0
24322,SF,10,22,532  PARK BARRINGTON WAY,-88.1276877686809,42.1344607034715,03/01/2019,2.0,7.0
24323,SF,10,31,703  STONE CANYON CIR,-88.1366520260799,42.1251437531598,05/15/2019,2.0,7.0
24324,SF,10,31,801  STONE CANYON CIR,-88.1338268622834,42.1254028320248,07/22/2019,2.0,7.0
24325,SF,10,31,624  STONE CANYON CIR,-88.1364503742178,42.1259899607139,08/27/2019,2.0,7.0
24326,SF,10,31,822  STONE CANYON CIR,-88.1343030363753,42.1272735356092,01/22/2019,2.0,7.0
24327,SF,10,31,705  FIELD STONE CT,-88.1357623454646,42.1259685806891,07/15/2019,2.0,7.0
24328,SF,10,31,706  FIELDSTONE CT,-88.1351548445238,42.1257163858067,06/19/2019,2.0,7.0
24329,SF,10,31,711  FIELDSTONE CT,-88.1355743754636,42.1264027421887,05/13/2019,2.0,7.0
24330,SF,10,31,1515  NEWPORT LN,-88.1279813561476,42.1282066642393,03/06/2019,2.0,7.0
24331,SF,10,31,121  HILLSHIRE DR,-88.1299458867869,42.1261671059325,06/14/2019,2.0,7.0
